TOW_BLOCK,TOW_PAIR,EXPERIMENTAL_TOW_TYPE,CRUISE,VESSEL,HAUL,TOW_TYPE
35,72,7,199801,88,505,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
35,35,7,199801,89,505,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
36,73,6,199801,88,119,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
36,36,6,199801,89,155,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
36,73,7,199801,88,506,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
36,36,7,199801,89,506,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
37,74,6,199801,88,128,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
37,37,6,199801,89,165,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
37,74,7,199801,88,507,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
37,37,7,199801,89,507,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
38,38,6,199801,88,133,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
38,38,7,199801,88,508,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
39,39,6,199801,88,141,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
39,39,7,199801,88,509,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
40,40,6,199801,88,145,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
40,40,7,199801,88,510,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
41,41,6,199801,88,150,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
41,41,7,199801,88,511,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
